code;name
001;BS.AS. (CAPITAL)
003;BAHIA BLANCA
004;BARILOCHE
008;CAMPANA
010;BARRANQUERAS
012;CLORINDA
013;COLON
014;COMODORO RIVADAVIA
015;CONCEPCION DEL URUGUAY
016;CONCORDIA
017;CORDOBA
018;CORRIENTES
019;PUERTO DESEADO
020;DIAMANTE
023;ESQUEL
024;FORMOSA
025;GOYA
026;GUALEGUAYCHU
029;IGUAZU
031;JUJUY
033;LA PLATA
034;LA QUIACA
037;MAR DEL PLATA
038;MENDOZA
040;NECOCHEA
041;PARANA
042;PASO DE LOS LIBRES
045;POCITOS
046;POSADAS
047;PUERTO MADRYN
048;RIO GALLEGOS
049;RIO GRANDE
052;ROSARIO
053;SALTA
054;SAN JAVIER
055;SAN JUAN
057;SAN LORENZO
058;S. MARTIN DE LOS ANDES
059;SAN NICOLAS
060;SAN PEDRO
061;SANTA CRUZ
062;SANTA FE
066;TINOGASTA
067;USHUAIA
069;VILLA CONSTITUCION
073;EZEIZA
074;TUCUMAN
075;NEUQUEN
076;ORAN
078;SAN RAFAEL
079;LA RIOJA
080;SAN ANTONIO OESTE
082;BERNARDO DE YRIGOYEN
083;SAN LUIS
084;SANTO TOME
085;VILLA REGINA
086;OBERA
087;CALETA OLIVIA
088;GENERAL DEHEZA
089;SANTIAGO DEL ESTERO
090;GENERAL PICO
091;BS.AS. NORTE
092;BS.AS. SUR
093;RAFAELA
099;MULTIADUANA
258;Z.F GENERAL PICO
266;Z.F CORONEL ROSALES
267;Z.F CONCEP.DEL.URUG.
268;Z.F. V. CONSTITUCION
269;Z.F. PUERTO GALVAN
