country_code;customs_code;location_code;description
AR;001;10056;TERMINAL 5
AR;001;10057;TERMINAL 1 2 Y 3
AR;001;10068;TERMINAL 4
AR;001;10073;TERMINAL SUR
AR;001;11002;AVELLANEDA SUR
AR;001;11003;DEPOSITO MOREIRO HNOS SRL
AR;001;11005;SAF
AR;001;11007;CAPITAN CORTES MADERO
AR;001;1100C;SIR HOME SA
AR;001;1100E;DEFIBE SA
AR;001;1100F;DEFISA PUERTO
AR;001;1100L;FRIO DOCK SA
AR;001;1100P;BAJO CERO SA
AR;001;1100S;DEPOSITO FISCAL MURCAN S A
AR;001;1100V;LOGISTICA CENTRAL SA
AR;001;1100Z;DEPOSITO FISCAL CENSER
AR;001;11012;FEPORT SA
AR;001;1101E;MERCOCARGA SA
AR;001;1101N;LOGISTICA MILO SA
AR;001;1101Y;LOGISTICS PLATFORMS INVESTMENT SA
AR;001;11021;LO PRIMO I
AR;001;11028;UNIV. CARGAS
AR;001;1103B;ANTIVARI SACI
AR;001;1104D;DEFIBA CONTENEDORES
AR;001;1104F;MEGATOM SA
AR;001;1105E;MURCHISON
AR;001;11069;DEP FISCAL DHL
AR;001;11070;TERMINAL PANAMERICANA SA
AR;001;11080;NTRA SRA ASUNCION
AR;001;11094;COAMTRA SA
AR;001;11096;TEFASA I
AR;001;11098;TRANSPORTES PATRON SACIF
AR;001;1109B;TERBASA
AR;001;1109C;BUERAS
AR;001;11101;LOGEXPOR
AR;001;11109;LOGINTER SA
AR;001;11112;LOINEX SA
AR;001;11113;TRANSPORTES MONTALVAN SA
AR;001;1111M;MEGATOM II
AR;001;11201;ABBOTT LABORATORIES
AR;001;11B36;CORVALAN
AR;001;11H03;CORREO ARG.RETIRO
AR;001;11N03;DIREXA SA
AR;001;11X2E;GEN POL
AR;001;11Z03;CORREO ARG.MTE.GRANDE
AR;001;11Z08;GEMEZ SA BARRACAS
AR;001;11Z09;GEMEZ SA
AR;001;11Z0E;DEFIBA PUERTO
AR;001;11Z22;LO PRIMO III
AR;001;11Z2E;DODERO
AR;001;11Z2F;DODERO TIGRE
AR;001;11Z96;TEFASA II
AR;001;1200H;MINISTERIO DE DEFENSA
AR;001;12026;LIBERTADOR MOTORS
AR;001;1202H;COTO CENTRO INTEGRAL DE COMERC SA
AR;001;12031;PRODMET
AR;001;12090;EDITORIAL PERFIL
AR;001;1403N;GATE PRIORITY SA
AR;001;42001;TALLERES NAVALES DAR N S.A.
AR;001;42952;DARSENA SUR ESTE (A.G.P)
AR;001;60016;DIV CONTROL Y FISCALIZ OPERATIVA 1
AR;001;6001G;DIV CONTROL Y FISCALIZ OPERATIVA 2
AR;001;60100;MUELLE INT. TIGRE
AR;001;60200;SEC ZONA SUR Y DEPOSITOS JURISDIC
AR;001;60400;OFICINA DOCK SUD
AR;001;60500;SECC. ZONA TIGRE
AR;001;60600;TERMINAL BUQUEBUS
AR;001;60700;TERMINAL BENITO QUINQUELA MARTIN
AR;001;60800;TERMINAL COLONIA EXPRESS
