country_code;customs_code;location_code;description
BR;117600;1911101;AEROPORTO INTERNACIONAL DE BRASILIA
BR;117600;1912001;REMESSAS POSTAIS INTERN.-ECT - BRAS
BR;117600;1913201;LOGSERVE-LOGISTICA, ARMAZENAGEM E S
BR;117600;1913401;BASE ALFANDEGADA DO MAER.-BASE A°RE
BR;117600;1915301;ENERGIA ELETRICA-POTENCIA - IN SRF
BR;117600;1916101;LOJA FRANCA-DUFRY DO BRASIL DUTY FR
BR;117600;1916102;LOJA FRANCA-DUFRY DO BRASIL DUTY FR
BR;117600;1917701;DEP.DE LOJA FRANCA-DUFRY DO BRASIL
BR;117600;1917702;DEP. DE LOJA FRANCA-DUFRY DO BRASIL
BR;120100;1201201;TECA-AEROPORTO SANTA GENOVEVA-GOIAN
BR;120200;1303201;PORTO SECO CENTRO OESTE - DAIA/ANAP
BR;120200;1303401;BASE MILITAR ALFANDEGADA DO M.AER.-
BR;130100;1401101;AER.INTERN.MARECHAL RONDON-VARZEA G
BR;130100;1401201;TECA - AEROPORTO MAL. RONDON - VARZ
BR;130100;1402001;REMESSAS POSTAIS INTERNACIONAIS-ECT
BR;130100;1403201;PORTO SECO DE CUIABA-MT/TRANSMINO T
BR;130151;1951501;PORTO FLUVIAL ALFANDEGADO USO PUBLI
BR;130151;1951601;INST.PORT.FLUV.ALF.USO PRIVAT.DOCAS
BR;130151;1951902;PONTO DE FRONTEIRA ALF-DESTACAMENTO
BR;130151;1952701;REDEX-CATARATAS TRANSPORTES LTDA. -
BR;140100;1501101;AEROPORTO INTERNACIONAL DE CAMPO GR
BR;145100;1921901;MUNDO NOVO (BRASIL-PARAGUAI) PONTO
BR;145200;1931101;AEROPORTO INT.ALF.DE CORUMBA/MS - A
BR;145200;1931601;INST.PORT.PRIV.FLUVIAL-GRANEL QUIMI
BR;145200;1931602;INST.PORT.FLUV.ALF-USO PRIVATIVO-SO
BR;145200;1931901;POSTO ESDRAS (BRASIL-BOLIVIA) PONTO
BR;145200;1933101;AGESA SA - CORUMBA/MS - ESTACAO ADU
BR;145200;1933501;BASE ALFANDEGADA DO MMAR.-BASE FLUV
BR;145300;1941101;AEROPORTO INTERNACIONAL DE PONTA PO
BR;145300;1941901;PONTA PORA (BRASIL-PARAGUAI) PONTO
BR;145351;1961901;BELA VISTA (BRASIL-PARAGUAI) PONTO
BR;145352;1531601;INSTALACAO PORTUARIA FLUVIAL DE USO
BR;145352;1531901;PORTO MURTINHO (BRASIL-PARAGUAI) PO
BR;210200;2101501;PORTO DE SANTAREM-PORTO FLUVIAL ALF
BR;210200;2101601;PORTO TROMBETAS-INSTAL.PORT.FLUV.AL
BR;210200;2101602;INST PORT FLUV.USO MISTO/CARGILL AG
BR;210200;2102701;REDEX-CENTER CARGO MARITIMO TRANSPO
BR;210200;2107101;ORIXIMINA/PA - MINERACAO RIO DO NOR
BR;210252;2201601;INST.PORT.FLUV.ALFANDEGADA-USO PRIV
BR;210252;2201602;INST.PORT.FLUV.ALF.-USO PRIVAT.CIA
BR;210300;2157101;D.E.A-CIA. VALE DO RIO DOCE-SERRA D
BR;210300;2157301;DEPOSITO ESPECIAL - BUCYRUS DO BRAS
